Harga Aktual (Rp),Harga Prediksi (Rp),Residual
600000000.0,647923840.0,-47923840.0
600000000.0,730295900.0,-130295872.0
325000000.0,354835970.0,-29835968.0
435000000.0,354835970.0,80164032.0
750000000.0,742072300.0,7927680.0
800000000.0,809791300.0,-9791296.0
480000000.0,354835970.0,125164032.0
250000000.0,372857800.0,-122857792.0
550000000.0,548917570.0,1082432.0
2900000000.0,2917450200.0,-17450240.0
4800000000.0,3958158800.0,841841152.0
975000000.0,931650000.0,43350016.0
1400000000.0,1462446200.0,-62446208.0
550000000.0,561973400.0,-11973376.0
1350000000.0,1379052400.0,-29052416.0
850000000.0,860505400.0,-10505408.0
1100000000.0,1332182100.0,-232182144.0
950000000.0,800445500.0,149554496.0
950000000.0,923210430.0,26789568.0
2300000000.0,2378843000.0,-78842880.0
695000000.0,780883800.0,-85883776.0
695000000.0,745761500.0,-50761472.0
980000000.0,1120531100.0,-140531072.0
470000000.0,435493600.0,34506400.0
496000000.0,509778140.0,-13778144.0
600000000.0,721363800.0,-121363776.0
399000000.0,467499900.0,-68499904.0
450000000.0,454922850.0,-4922848.0
2300000000.0,2156089300.0,143910656.0
475000000.0,599228160.0,-124228160.0
1300000000.0,1437207800.0,-137207808.0
265000000.0,266309920.0,-1309920.0
380000000.0,394183800.0,-14183808.0
160000000.0,198658460.0,-38658464.0
525000000.0,546531460.0,-21531456.0
770000000.0,815778400.0,-45778432.0
750000000.0,712187650.0,37812352.0
690000000.0,740202100.0,-50202112.0
700000000.0,684798400.0,15201600.0
995000000.0,990637800.0,4362176.0
570000000.0,539293300.0,30706688.0
570000000.0,604119230.0,-34119232.0
600000000.0,692443840.0,-92443840.0
450000000.0,499811360.0,-49811360.0
3500000000.0,3107914500.0,392085504.0
1150000000.0,1118997500.0,31002496.0
1150000000.0,1118997500.0,31002496.0
1100000000.0,1293189100.0,-193189120.0
500000000.0,586847300.0,-86847296.0
2400000000.0,2492706300.0,-92706304.0
2400000000.0,2492706300.0,-92706304.0
1290000000.0,1091311500.0,198688512.0
690000000.0,817103600.0,-127103616.0
995000000.0,1060302700.0,-65302720.0
4500000000.0,4156422700.0,343577344.0
945000000.0,901783040.0,43216960.0
1440000000.0,1287005400.0,152994560.0
550000000.0,678787900.0,-128787904.0
5500000000.0,5303223000.0,196777216.0
1000000000.0,1109032200.0,-109032192.0
1440000000.0,1287005400.0,152994560.0
3000000000.0,2004795600.0,995204352.0
1380000000.0,1284570200.0,95429760.0
945000000.0,868545660.0,76454336.0
1440000000.0,1287005400.0,152994560.0
1380000000.0,1284570200.0,95429760.0
2000000000.0,2038348400.0,-38348416.0
5500000000.0,4738742000.0,761258240.0
5750000000.0,4843397600.0,906602368.0
5900000000.0,3965428200.0,1934571776.0
6200000000.0,5160630300.0,1039369728.0
1800000000.0,1790524900.0,9475072.0
650000000.0,1088895500.0,-438895488.0
1900000000.0,2383252500.0,-483252480.0
5100000000.0,4580663000.0,519337216.0
900000000.0,1001390300.0,-101390272.0
850000000.0,1022987100.0,-172987072.0
650000000.0,1088895500.0,-438895488.0
1300000000.0,1185687900.0,114312064.0
2150000000.0,1934472400.0,215527552.0
3500000000.0,3810265000.0,-310265088.0
1300000000.0,1309908600.0,-9908608.0
1250000000.0,1403633800.0,-153633792.0
700000000.0,538898400.0,161101568.0
4500000000.0,3760727600.0,739272448.0
1900000000.0,1357092400.0,542907648.0
3900000000.0,3433507300.0,466492672.0
4500000000.0,5073330700.0,-573330688.0
1350000000.0,1313751800.0,36248192.0
2500000000.0,2983737300.0,-483737344.0
4500000000.0,4447112700.0,52887296.0
7000000000.0,6126121500.0,873878528.0
1300000000.0,1185687900.0,114312064.0
945000000.0,859362200.0,85637824.0
1000000000.0,1153022000.0,-153021952.0
1250000000.0,1383460100.0,-133460096.0
1650000000.0,1383460100.0,266539904.0
1150000000.0,1122831000.0,27169024.0
6500000000.0,6124883000.0,375117056.0
2300000000.0,2264092000.0,35908096.0
2300000000.0,2264092000.0,35908096.0
2750000000.0,3072538400.0,-322538368.0
2400000000.0,2198140400.0,201859584.0
1200000000.0,1493416700.0,-293416704.0
945000000.0,901783040.0,43216960.0
1650000000.0,1383460100.0,266539904.0
1250000000.0,1383460100.0,-133460096.0
1150000000.0,1122831000.0,27169024.0
1300000000.0,1185687900.0,114312064.0
1250000000.0,1282496600.0,-32496640.0
